ref_id,original_authors,original_year,original_title,pub_title,journal_abbrev,volume,doi_extracted,doi_final,lang,pub_title_en,source_type,author_count,is_complete,flags
REF-00026,"Sanford, J. & Bosch, S.J.",2013,An investigation of noncompliant toilet room designs for assisted toileting. HERD 6(2):43–57. DOI:10,An investigation of noncompliant toilet room designs for assisted toileting,HERD,6,10.1177/193758671300600205,10.1177/193758671300600205,en,,journal_article,2,1,
REF-00027,"Kennedy, M.J. et al.",2015,Toilet grab-bar preference and COP deviation during toilet transfers. Assist Technol 27(2):78–87. PM,Toilet grab-bar preference and COP deviation during toilet transfers. ,Assist Technol,27,10.1080/10400435.2014.976799,10.1080/10400435,en,,journal_article,1,0,ET_AL_INCOMPLETE
REF-00028,"Levine, D. et al.",2023,Grab bar placement varies with body height (r=0.67). Human Factors. DOI:10.1177/00187208211059860,Grab bar placement varies with body height (r=0.67). Human Factors,,,10.1177/00187208211059860,10.1177/00187208211059860,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00029,"Levine, D. et al.",2025,Grab bar adjustability evidence. JMIR. DOI:10.2196/69442,Grab bar adjustability evidence. JMIR,,,10.2196/69442,10.2196/69442,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00030,"Kim, W. et al.",2014,Ramp gradient >6% increases propulsion effort,Ramp gradient >6% increases propulsion effort,,,,,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00031,"Zanotto, D. et al.",2023,[GREY — full citation unverified; DOI required],,,,,,it,,grey,1,0,SHORT_TITLE|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00032,"Cockayne, S. et al.",2021,[GREY — full citation unverified; DOI required],,,,,,sv,,grey,1,0,SHORT_TITLE|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00033,"Lee, S.J. et al.",2017,Bilateral fold-down grab bars at 813mm height outperform ADA configuration. [Phase 1 — superseded by,Bilateral fold-down grab bars at 813mm height outperform ADA configuration,,,,,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00034,"Lee, S.J., Sanford, J., Calkins, M. et al.",2018,Beyond ADA Accessibility Requirements: Meeting Seniors' Needs for Toilet Transfers. HERD 11(2):32–44,Beyond ADA Accessibility Requirements,HERD,11,10.1177/1937586717730338,10.1177/1937586717730338,en,,journal_article,3,0,ET_AL_INCOMPLETE
REF-00035,"Lee, S.J., Mehta-Desai, R., Oh, K., Sanford, J., Prilutsky, B.I.",2019,Effects of bilateral swing-away grab bars on biomechanics of STS toilet transfers. Disabil Rehabil A,Effects of bilateral swing-away grab bars on biomechanics of STS toilet transfer,Disabil Rehabil Assist Technol,14,10.1080/17483107.2018.1447605,10.1080/17483107.2018.1447605,en,,journal_article,5,1,
REF-00036,"Levine, I.C., Lau, S.T., King, E.C., Novak, A.C.",2022,Consumer perspectives on grab bars: A Canadian national survey. Front Public Health 10:915100. DOI:1,Consumer perspectives on grab bars,,,10.3389/fpubh.2022.915100,10.3389/fpubh.2022.915100,en,,,4,1,SOURCE_TYPE_UNKNOWN
REF-00037,"Rouvier, T., Louessard, A., Simonetti, E. et al.",2022,Manual wheelchair biomechanics while overcoming environmental barriers: A systematic review. PLOS ON,Manual wheelchair biomechanics while overcoming environmental barriers,,,10.1371/journal.pone.0269657,10.1371/journal.pone.0269657,en,,,3,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00038,"Sanford, J., Echt, K., Malassigné, P.",2000,An E for ADAAG: The case for ADA accessibility guidelines for the elderly. Phys Occup Ther Geriatr 1,An E for ADAAG,,,10.1080/J148v16n03_03,10.1080/J148v16n03_03,en,,,3,1,SOURCE_TYPE_UNKNOWN
REF-00039,Deafblind International (DbI),n.d.,Guidelines on Best Practice for Service Provision to Deafblind People,Guidelines on Best Practice for Service Provision to Deafblind People,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00040,Nordic Welfare Centre,2023,The Deafblind Field,The Deafblind Field,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00041,"Clark, J.L.",2023,Touch the Future: A Manifesto in Essays. Norton,Touch the Future,,,,10.15353/cjds.v13i1.1082,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00042,"Clark, J.L.",2021,Against Access. McSweeney's,Against Access. McSweeney's,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00043,Protactile movement,2025,"Protactile (Wikipedia / Nuccio, granda, Clark)","Protactile (Wikipedia / Nuccio, granda, Clark)",,,,,es,,,1,1,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION
REF-00044,DINF Japan,n.d.,盲ろう者のコミュニケーション,盲ろう者のコミュニケーション,,,,,ja,Communication for deafblind persons,,1,1,SHORT_TITLE|SOURCE_TYPE_UNKNOWN
REF-00045,DeafBlind Information Australia,2022,Adapting the Environment,Adapting the Environment,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00046,"Tola, G. et al.",2021,Optimizing architectural design for ASD: scoping review. IJERPH 18(6):3203. DOI:10.3390/ijerph180632,Optimizing architectural design for ASD,IJERPH,18,10.3390/ijerph18063203,10.3390/ijerph18063203,en,,standard,1,0,ET_AL_INCOMPLETE
REF-00047,"Bettarello, F. et al.",2021,Acoustic thresholds in ASD daily-care facility. Appl Sci. DOI:10.3390/app11093942,Acoustic thresholds in ASD daily-care facility. Appl Sci,,,10.3390/app11093942,10.3390/app11093942,en,,standard,1,0,ET_AL_INCOMPLETE
REF-00048,"Black, M.H. et al.",2022,Built environment considerations for autistic individuals. Autism 26(4). DOI:10.1177/136236132211027,Built environment considerations for autistic individuals. Autism 26(4),,,10.1177/13623613221102753,10.1177/13623613221102753,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00049,"Caniato, M. et al.",2024,Background noise ≤55 dB(A) in ASD classroom — directional only. [GREY — DOI required; single classro,Background noise ≤55 dB(A) in ASD classroom — directional only,,,,10.25144/21148,en,,standard,1,0,ET_AL_INCOMPLETE
REF-00050,BSI,2022,PAS 6463:2022 — Design for the Mind: neurodiversity,PAS 6463:2022 — Design for the Mind,,,,,en,,standard,1,1,
REF-00051,"Mostafa, M.",2021,ASPECTSS 2.0 — design index. Front Psychiatry. DOI:10.3389/fpsyt.2021.727353,design index. Front Psychiatry,,,10.3389/fpsyt.2021.727353,10.3389/fpsyt.2021.727353,en,,standard,1,1,
REF-00052,"Weber, J. et al.",2022,[GREY — full citation unverified; journal and DOI required],,,,,,de,,grey,1,0,SHORT_TITLE|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00053,RCOT,2019,Housing Adaptations Without Delay,Housing Adaptations Without Delay,,,,,en,,guideline,1,1,
REF-00054,RCOT / Habinteg,2024,Inclusive Housing Design Guide. RIBA/Habinteg,Inclusive Housing Design Guide. RIBA/Habinteg,,,,10.4324/9781003564164,en,,guideline,2,1,
REF-00055,RCOT,2023,Living Well by Design,Living Well by Design,,,,,en,,guideline,1,1,
REF-00056,"Siebert, C., Smallfield, S. & Stark, S.",2014,OT Practice Guidelines for Home Modifications. AOTA Press. ISBN:9781569003572,OT Practice Guidelines for Home Modifications. AOTA Press. ISBN:9781569003572,,,,10.7139/2017.978-1-56900-459-3,en,,,2,1,SOURCE_TYPE_UNKNOWN
REF-00057,CAOT,2024,Home Assessment and Modifications,Home Assessment and Modifications,,,,,en,,guideline,1,1,
REF-00058,COTEC / WFOT,2022,Position statement on occupational therapy and accessibility,Position statement on occupational therapy and accessibility,,,,,en,,,2,1,SOURCE_TYPE_UNKNOWN
REF-00059,"Steinfeld, E. et al.",2010,Anthropometry and Standards for Wheeled Mobility. Assist Technol 22(1):51–67. DOI:10.1080/1040043090,Anthropometry and Standards for Wheeled Mobility,Assist Technol,22,10.1080/10400430903496580,10.1080/10400430903496580,en,,journal_article,1,0,ET_AL_INCOMPLETE
REF-00060,"Steinfeld, E. et al.",2010,Anthropometry of Wheeled Mobility Project — Final Report. IDeA Center / US Access Board,Anthropometry of Wheeled Mobility Project — Final Report. IDeA Center / US Acces,,,,10.1080/10400430903520280,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00061,VA CFM,2025,VA Barrier-Free Design Standard — 1675mm power WC; 1800mm bariatric,VA Barrier-Free Design Standard — 1675mm power WC; 1800mm bariatric,,,,,en,,standard,1,1,
REF-00062,PVA,2021,"Accessible Home Design, 2nd ed. Paralyzed Veterans of America","Accessible Home Design, 2nd ed. Paralyzed Veterans of America",,,,,en,,guideline,1,1,
REF-00063,Habinteg / CAE / RIBA,2024,"Inclusive Housing Design Guide (Runnalls J., RCOTSS-Housing). DOI:10.4324/9781003564164","Inclusive Housing Design Guide (Runnalls J., RCOTSS-Housing)",,,10.4324/9781003564164,10.4324/9781003564164,en,,,3,1,SOURCE_TYPE_UNKNOWN
REF-00064,NHF / Husbanken,2014,Tilgjengelige bygg og uteområder,Tilgjengelige bygg og uteområder,,,,,no,,,2,1,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION
REF-00065,MLIT Japan,2025,建築設計標準 (updated),建築設計標準 (updated),,,,,ja,Architectural Design Standards (updated),standard,1,1,
REF-00066,DPI Japan,2024,障害者の居住にも対応した住宅の設計ハンドブック,障害者の居住にも対応した住宅の設計ハンドブック,,,,,ja,Design handbook for housing that accommodates persons with disabilities,,1,1,SHORT_TITLE|SOURCE_TYPE_UNKNOWN
REF-00067,Boverket,2025,BFS 2024:12 — dimensionerande mått,BFS 2024:12 — dimensionerande mått,,,,,no,,standard,1,1,NEEDS_TRANSLATION
REF-00068,"Keall, M. et al.",2015,HIPI study. Lancet 385:231–238. DOI:10.1016/S0140-6736(14)61006-0,HIPI study. Lancet 385:231–238. 61006-0,,,10.1016/S0140-6736(14,10.1016/S0140-6736(14,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00069,"Keall, M. et al.",2021,MHIPI study. Lancet Public Health 6:e631–e640,MHIPI study. Lancet Public Health 6:e631–e640,,,,10.1136/bmjopen-2020-046647,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00070,"Sawatzky, B. et al.",2015,Upper extremity preservation in manual wheelchair users. Am J Phys Med Rehabil 94(4):313–324,Upper extremity preservation in manual wheelchair users,Am J Phys Med Rehabil,94,,10.1097/PHM.0000000000000203,en,,journal_article,1,0,ET_AL_INCOMPLETE
REF-00071,NEN,2025,NEN 9120:2025 — Toegankelijkheid van gebouwen,NEN 9120:2025 — Toegankelijkheid van gebouwen,,,,,nl,,standard,1,1,NEEDS_TRANSLATION
REF-00072,APF France Handicap,2020,Enquête Ifop/APF,Enquête Ifop/APF,,,,,fr,,,1,1,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION
REF-00073,"Ringaert, L. et al.",2001,"Determination of new dimensions for universal design. UDI, Manitoba","Determination of new dimensions for universal design. UDI, Manitoba",,,,,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00074,BCA,2025,Code on Accessibility in the Built Environment 2025,Code on Accessibility in the Built Environment 2025,,,,,en,,standard,1,1,
REF-00075,"Winkler, D. et al.",2024,Supporting design and construction sector for accessible standards. Summer Foundation,Supporting design and construction sector for accessible standards. Summer Found,,,,,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00076,"Newton, C., Carnemolla, P. & Darcy, S.",2023,Inclusive and Embodied Approach to Accessible Bathroom Design. UTS/Spinal Cord Injuries Australia,Inclusive and Embodied Approach to Accessible Bathroom Design. UTS/Spinal Cord I,,,,,en,,,2,1,SOURCE_TYPE_UNKNOWN
REF-00077,ABNT,2020,NBR 9050:2020 — Acessibilidade a edificações,NBR 9050:2020 — Acessibilidade a edificações,,,,,pt,,standard,1,1,NEEDS_TRANSLATION
REF-00078,Procap / SIA,2009,SIA 500 — Constructions sans obstacles (ramp max 6%; admissible 12%),Constructions sans obstacles (ramp max 6%; admissible 12%),,,,,fr,,standard,2,1,NEEDS_TRANSLATION
REF-00079,CEUD / NDA,2012,Building for Everyone (8-volume series),Building for Everyone (8-volume series),,,,,en,,standard,2,1,
REF-00080,Invalidiliitto,2018,ESKEH-kartoitusmenetelmä — accessibility audit framework,ESKEH-kartoitusmenetelmä — accessibility audit framework,,,,,fi,ESKEH survey method — accessibility audit framework,,1,1,SOURCE_TYPE_UNKNOWN
REF-00081,Standards New Zealand,2001,NZS 4121:2001 — Design for access and mobility,NZS 4121:2001 — Design for access and mobility,,,,,en,,standard,1,1,
REF-00082,BSK e.V.,n.d.,ABC Barrierefreies Bauen — community-developed planning guide,ABC Barrierefreies Bauen — community-developed planning guide,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00083,"Bowes, A. et al.",2019,Designing Environments for People with Dementia: SR (429 items). Emerald. DOI:10.1108/978-1-78769-97,Designing Environments for People with Dementia,,,10.1108/978-1-78769-971-720191004,10.1108/978-1-78769-971-720191004,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00084,"DSDC, University of Stirling",2022,EADDAT — Environments for Ageing and Dementia Design Assessment Tool,Environments for Ageing and Dementia Design Assessment Tool,,,,,en,,standard,1,1,
REF-00085,Vivium Zorggroep / BuroKade,n.d.,De Hogeweyk post-occupancy evaluation [UNVERIFIABLE — internal document; background evidence only],De Hogeweyk post-occupancy evaluation [UNVERIFIABLE — internal document; backgro,,,,,en,,,2,1,SOURCE_TYPE_UNKNOWN
REF-00086,(author TBC),2022,Dementia-friendly design: criteria and typologies. IJERPH. PMC8725382,Dementia-friendly design,,,,,en,,,,0,SOURCE_TYPE_UNKNOWN
REF-00087,KDA,ongoing,Wohnkonzepte für Menschen mit Demenz [PROVISIONAL — verified org; specific title not locatable],Wohnkonzepte für Menschen mit Demenz [PROVISIONAL — verified org; specific title,,,,,de,,standard,1,1,NEEDS_TRANSLATION
REF-00088,Helsedirektoratet,2024,Nasjonal faglig retningslinje om demens,Nasjonal faglig retningslinje om demens,,,,,no,,standard,1,1,NEEDS_TRANSLATION
REF-00089,"Gonzalez, M.T. & Kirkevold, M.",2014,Benefits of sensory garden and horticultural activities in dementia care: scoping review. J Clin Nur,Benefits of sensory garden and horticultural activities in dementia care,,,10.1111/jocn.12388,10.1111/jocn.12388,en,,,2,1,SOURCE_TYPE_UNKNOWN
REF-00090,(author TBC),2022,Trauma-informed design (TID). PMC9658651. PMID:36742289,Trauma-informed design (TID). PMC9658651,,,,,en,,,,0,SOURCE_TYPE_UNKNOWN
REF-00091,(author TBC),n.d.,TID youth. PMC10689333,TID youth. PMC10689333,,,,,en,,,,0,SOURCE_TYPE_UNKNOWN
REF-00092,SAMHSA,n.d.,Trauma-Informed Care in Behavioral Health Services,Trauma-Informed Care in Behavioral Health Services,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00093,"Holohan, E.",2022,Trauma-informed design. [GREY — full citation unverified; DOI required],Trauma-informed design,,,,,en,,grey,1,1,
REF-00094,BuroHappold,2024,[TID or MH design guidance — GREY — full citation unverified],[TID or MH design guidance — GREY — full citation unverified],,,,,it,,standard,1,1,NEEDS_TRANSLATION
REF-00095,"Oostermeijer, S. et al.",2021,BMJ Open. PMID:34233981,BMJ Open,,,,10.1136/bmjopen-2020-046647,nl,,,1,0,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00096,"Faerden, A. et al.",2022,Single rooms and patient control in inpatient mental health. HERD. PMID:36567605,Single rooms and patient control in inpatient mental health. HERD,,,,10.1177/1937586720937995,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00097,"Haig, R. et al.",2022,Int J Mental Health Nurs — [GREY — full citation unverified; DOI required],Int J Mental Health Nurs —,,,,,en,,grey,1,0,ET_AL_INCOMPLETE
REF-00098,"Price, E. et al.",2024,EDITION study. [GREY — full citation unverified; DOI required],EDITION study,,,,,en,,grey,1,0,ET_AL_INCOMPLETE
REF-00099,"van der Schaaf, P. et al.",2013,British Journal of Psychiatry — [GREY — full citation unverified; DOI required],British Journal of Psychiatry —,,,,,en,,grey,1,0,ET_AL_INCOMPLETE
REF-00100,"Bodryzlova, Y. et al.",2024,J Psychiatric Research. PMID:39128221,J Psychiatric Research,,,,,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00101,"Schreiber, V. et al.",2022,BMC Health Services Research — psychiatric architecture. PMID:35869551,BMC Health Services Research — psychiatric architecture,,,,10.1186/s12913-022-08322-6,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00102,"Weltens, I. et al.",2023,BMJ Open. PMID:36806071,BMJ Open,,,,10.1136/bmjopen-2022-067943,nl,,,1,0,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00103,"Husum, T.L. et al.",2010,BMC Health Services Research — Norwegian acute psychiatry. PMID:20370928,BMC Health Services Research — Norwegian acute psychiatry,,,,10.1186/1472-6963-10-89,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00104,"Askew, R. et al.",2019,J Psychiatric Mental Health Nurs — [GREY — DOI required],J Psychiatric Mental Health Nurs —,,,,,en,,grey,1,0,ET_AL_INCOMPLETE
REF-00105,"Quinn, C. et al.",2024,Int J Mental Health Nurs. PMID:38193620,Int J Mental Health Nurs,,,,,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00106,"DeCuyper, M. et al.",2023,J Psychiatric Mental Health Nurs — [GREY — DOI required],J Psychiatric Mental Health Nurs —,,,,,en,,grey,1,0,ET_AL_INCOMPLETE
REF-00107,"Goulet, M-H. et al.",2022,Santé Mentale au Québec — ecological model. PMID:36548797,Santé Mentale au Québec — ecological model,,,,10.7202/smq,fr,,,1,0,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00108,"Wilson, C. et al.",2023,Int J Mental Health Nurs — AU service user perspectives. DOI:10.1111/inm.13070,Int J Mental Health Nurs — AU service user perspectives,,,10.1111/inm.13070,10.1111/inm.13070,en,,,1,0,SOURCE_TYPE_UNKNOWN|ET_AL_INCOMPLETE
REF-00109,"Rodríguez-Labajos, B. et al.",2024,"HERD — 44 studies, 9 countries. PMID:38385552. DOI:10.1177/19375867231219031","44 studies, 9 countries. ",,,10.1177/19375867231219031,10.1177/19375867231219031,es,,,1,0,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION|ET_AL_INCOMPLETE
REF-00110,DiMHN,n.d.,Design in Mental Health Network — lived experience research,Design in Mental Health Network — lived experience research,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00111,Permanente / Kaiser San Jose,2020,Patient perspectives on outpatient MH environment (n=13),Patient perspectives on outpatient MH environment (n=13),,,,,fr,,,2,1,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION
REF-00112,BHFC,2024,Behavioral Health Facility Compendium Design Guide (26th revision),Behavioral Health Facility Compendium Design Guide (26th revision),,,,,en,,standard,1,1,
REF-00113,Center for Health Design,n.d.,Evidence-based design for behavioral mental health,Evidence-based design for behavioral mental health,,,,,en,,,1,1,SOURCE_TYPE_UNKNOWN
REF-00114,CSA / ASC,2025,CAN/ASC 2.8:2025 — Canadian accessible housing standard,CAN/ASC 2.8:2025 — Canadian accessible housing standard,,,,,en,,standard,2,1,
REF-00115,Habinteg / JRF,2010,Lifetime Homes Standard — UK adaptable design,Lifetime Homes Standard — UK adaptable design,,,,,en,,standard,2,1,
REF-00116,ISO,2021,BS EN ISO 10535:2021 — Hoists for transfer of disabled persons,BS EN ISO 10535:2021 — Hoists for transfer of disabled persons,,,,,en,,standard,1,1,
REF-00117,Rick Hansen Foundation,2024,RHFAC Rating Survey v4.0,RHFAC Rating Survey v4.0,,,,,en,,standard,1,1,
REF-00118,CIH,2022,Adaptable Housing guide,Adaptable Housing guide,,,,,en,,standard,1,1,
REF-00119,Habinteg,2022,Accessible homes guidance,Accessible homes guidance,,,,,fr,,,1,1,SOURCE_TYPE_UNKNOWN|NEEDS_TRANSLATION
REF-00120,EU,2019,Directive (EU) 2019/882 — European Accessibility Act,Directive (EU) 2019/882 — European Accessibility Act,,,,,en,,standard,1,1,
REF-00121,CEN,2021,EN 17210:2021 — Accessibility and usability of the built environment: functional requirements,EN 17210:2021 — Accessibility and usability of the built environment,,,,,en,,standard,1,1,
REF-00122,Rijksoverheid,2024,Besluit bouwwerken leefomgeving (Bbl) — Netherlands accessibility requirements,Besluit bouwwerken leefomgeving (Bbl) — Netherlands accessibility requirements,,,,,nl,,standard,1,1,NEEDS_TRANSLATION
REF-00123,AENOR,2020,UNE 41500:2020 — Spain DALCO accessibility framework,UNE 41500:2020 — Spain DALCO accessibility framework,,,,,en,,standard,1,1,
REF-00124,European Commission,n.d.,AccessibleEU Centre — EU accessibility resources,AccessibleEU Centre — EU accessibility resources,,,,,en,,standard,1,1,
REF-00125,WHO,2001,"International Classification of Functioning, Disability and Health (ICF)","International Classification of Functioning, Disability and Health (ICF)",,,,,en,,standard,1,1,
REF-00126,"Lawton, M.P. & Nahemow, L.",1973,Ecology and the aging process (Competence-Press Model). In Eisdorfer & Lawton (Eds.),Ecology and the aging process (Competence-Press Model)),,,,10.1037/10044-020,en,,book_chapter,2,1,
